min_cluster_size,min_samples,eps,n_clusters,noise_frac,silhouette
2,1,0.0001,1007,0.771,-0.217
2,2,0.0001,104,0.252,0.024
2,3,0.0001,72,0.279,0.04
2,4,0.0001,50,0.211,0.068
4,1,0.0001,76,0.311,-0.005
4,2,0.0001,65,0.255,0.044
4,3,0.0001,60,0.28,0.046
4,4,0.0001,48,0.298,0.046
2,1,0.001,1007,0.771,-0.217
2,2,0.001,104,0.252,0.024
2,3,0.001,72,0.279,0.04
2,4,0.001,50,0.211,0.068
4,1,0.001,76,0.311,-0.005
4,2,0.001,65,0.255,0.044
4,3,0.001,60,0.28,0.046
4,4,0.001,48,0.298,0.046
2,1,0.01,1007,0.771,-0.217
2,2,0.01,104,0.252,0.024
2,3,0.01,72,0.279,0.04
2,4,0.01,50,0.211,0.068
4,1,0.01,76,0.311,-0.005
4,2,0.01,65,0.255,0.044
4,3,0.01,60,0.28,0.046
4,4,0.01,48,0.298,0.046
2,1,0.1,990,0.771,-0.219
2,2,0.1,87,0.252,0.022
2,3,0.1,58,0.278,0.04
2,4,0.1,39,0.21,0.071
4,1,0.1,62,0.31,-0.005
4,2,0.1,51,0.254,0.045
4,3,0.1,46,0.279,0.046
4,4,0.1,37,0.296,0.048
