min_cluster_size,min_samples,eps,n_clusters,noise_frac,silhouette
2,1,0.0001,2125,0.506,-0.153
2,2,0.0001,730,0.708,-0.263
2,3,0.0001,3,0.002,0.435
2,4,0.0001,3,0.003,0.434
4,1,0.0001,3,0.001,0.436
4,2,0.0001,3,0.002,0.436
4,3,0.0001,3,0.002,0.435
4,4,0.0001,3,0.003,0.434
2,1,0.001,2125,0.506,-0.153
2,2,0.001,730,0.708,-0.263
2,3,0.001,3,0.002,0.435
2,4,0.001,3,0.003,0.434
4,1,0.001,3,0.001,0.436
4,2,0.001,3,0.002,0.436
4,3,0.001,3,0.002,0.435
4,4,0.001,3,0.003,0.434
2,1,0.01,2125,0.506,-0.153
2,2,0.01,730,0.708,-0.263
2,3,0.01,3,0.002,0.435
2,4,0.01,3,0.003,0.434
4,1,0.01,3,0.001,0.436
4,2,0.01,3,0.002,0.436
4,3,0.01,3,0.002,0.435
4,4,0.01,3,0.003,0.434
2,1,0.1,1060,0.319,-0.2
2,2,0.1,381,0.505,-0.247
2,3,0.1,3,0.002,0.435
2,4,0.1,3,0.003,0.434
4,1,0.1,3,0.001,0.436
4,2,0.1,3,0.002,0.436
4,3,0.1,3,0.002,0.435
4,4,0.1,3,0.003,0.434
