min_cluster_size,min_samples,eps,n_clusters,noise_frac,silhouette
2,1,0.0001,820,0.811,-0.419
2,2,0.0001,107,0.273,0.003
2,3,0.0001,66,0.2,0.125
2,4,0.0001,54,0.212,0.127
4,1,0.0001,70,0.175,0.132
4,2,0.0001,61,0.19,0.128
4,3,0.0001,56,0.202,0.134
4,4,0.0001,48,0.293,0.11
2,1,0.001,820,0.811,-0.419
2,2,0.001,107,0.273,0.003
2,3,0.001,66,0.2,0.125
2,4,0.001,54,0.212,0.127
4,1,0.001,70,0.175,0.132
4,2,0.001,61,0.19,0.128
4,3,0.001,56,0.202,0.134
4,4,0.001,48,0.293,0.11
2,1,0.01,820,0.811,-0.419
2,2,0.01,107,0.273,0.003
2,3,0.01,66,0.2,0.125
2,4,0.01,54,0.212,0.127
4,1,0.01,70,0.175,0.132
4,2,0.01,61,0.19,0.128
4,3,0.01,56,0.202,0.134
4,4,0.01,48,0.293,0.11
2,1,0.1,100,0.063,0.328
2,2,0.1,44,0.072,0.336
2,3,0.1,27,0.078,0.377
2,4,0.1,22,0.081,0.385
4,1,0.1,29,0.071,0.378
4,2,0.1,26,0.075,0.379
4,3,0.1,22,0.079,0.379
4,4,0.1,20,0.082,0.385
